POA_CODE,STATE,Weighted average income,Weighted average IRSAD quartile,Mortgage percentage unaffordability,Rent percentage unaffordability,House,Semi-detached,Apartment,House percentage,Semi-detached percentrage,Apartment percentage,Owned outright percentage,Mortage percentage,Renting percentage
2050,NSW,144851.7937,2.660246914,19.65116279,34.90077653,139,1024,3712,2.851282051,21.00512821,76.14358974,14.75491416,23.28937547,61.95571038
2060,NSW,160629.9544,2.715858417,21.98391421,27.14955706,772,1418,6705,8.679033165,15.94154019,75.37942664,24.58970006,17.2467459,58.16355405
2061,NSW,161764.5906,2.575844487,25.60240964,34.43746431,126,162,3982,2.950819672,3.793911007,93.25526932,25.91757888,12.23438506,61.84803606
2062,NSW,175391.9005,2.936268068,18.82951654,29.27439533,826,519,2138,23.71518806,14.90094746,61.38386448,29.47019868,28.31125828,42.21854305
2063,NSW,208991.1938,3.158165653,25.95155709,40.10282776,1707,150,468,73.41935484,6.451612903,20.12903226,49.19354839,30.55028463,20.25616698
2064,NSW,151925.4437,2.850705004,19.73333333,31.87978786,870,363,2848,21.31830434,8.894878706,69.78681696,25.44229149,23.53271553,51.02499298
2065,NSW,168436.0565,2.877322635,19.36720997,26.12893642,2838,1936,11502,17.43671664,11.89481445,70.66846891,24.69399374,24.32393965,50.98206661
2066,NSW,170797.0542,3.028840222,18.3570224,29.90323342,5522,886,8025,38.2595441,6.138709901,55.601746,28.75519649,35.8302612,35.41454232
2067,NSW,139981.3423,2.740168539,30.99730458,41.16603857,3414,511,7728,29.29717669,4.385136875,66.31768643,28.03988077,21.53355946,50.42655977
2068,NSW,189780.7344,3.085651661,20.05494505,35.78251286,4391,612,1434,68.21500699,9.507534566,22.27745844,39.75102319,34.9420191,25.30695771
2069,NSW,192703.7964,3.215718718,24.52574526,34.25531915,3935,177,1181,74.34347251,3.344039297,22.31248819,42.54914394,35.15113084,22.29972522
2070,NSW,178494.7316,3.139627926,25.84657913,38.18342152,3235,184,2155,58.03731611,3.301040545,38.66164334,40.76986755,33.67135762,25.55877483
2071,NSW,174802.8286,3.170747704,30.64275037,38.90608875,3160,157,1797,61.79116152,3.070003911,35.13883457,41.98882682,34.41340782,23.59776536
2072,NSW,159070.7717,3.061442006,29.87312572,40.43355325,1573,132,1781,45.12335055,3.786574871,51.09007458,32.79416429,30.95464637,36.25118934
2073,NSW,193290.5186,3.340204338,24.2248062,35.5801105,4735,170,1167,77.98089592,2.799736495,19.21936759,39.66175668,42.33496999,18.00327332
2074,NSW,177142.636,3.13513176,21.6146789,37.93706294,6122,388,2217,70.15010886,4.44597227,25.40391887,44.52402657,39.27594739,16.20002605
2075,NSW,175401.4337,3.178409559,27.16049383,41.45873321,5381,543,1882,68.93415322,6.956187548,24.10965924,42.77561247,41.53674833,15.6876392
2076,NSW,174011.5521,3.151341463,21.8948778,37.42236025,6700,711,1473,75.41647906,8.003151733,16.5803692,39.78033077,42.33051382,17.88915541
2077,NSW,126643.1219,2.789769885,20.81474297,36.29692833,6665,834,10110,37.84996309,4.736214436,57.41382248,24.54672245,35.62824902,39.82502853
2079,NSW,148836.5582,3.055576418,17.54684838,33.17865429,2330,107,380,82.71210508,3.798367057,13.48952787,33.63567649,48.60166289,17.76266062
2080,NSW,146299.5134,3.003442341,16.60377358,39.0625,588,27,0,95.6097561,4.390243902,0,38.00350263,49.38704028,12.60945709
2081,NSW,154603.3002,3.10570944,14.70967742,37.25490196,1752,87,11,94.7027027,4.702702703,0.594594595,38.85096701,49.26052332,11.88850967
2082,NSW,148155.3954,3.008156607,14.68005019,38.88888889,1865,88,25,94.28715875,4.448938322,1.263902932,41.53424658,47.67123288,10.79452055
2083,NSW,128429.1896,2.622613803,16.59192825,38.58267717,875,4,34,95.83789704,0.438116101,3.723986857,41.07946027,38.23088456,20.68965517
2084,NSW,168338.6364,2.993282955,20.10309278,32.53012048,1126,43,74,90.58728882,3.459372486,5.953338697,46.6553768,37.34123624,16.00338696
2085,NSW,164299.2729,3.012983572,17.14890614,50.43227666,3275,304,423,81.83408296,7.596201899,10.56971514,45.85164835,43.24175824,10.90659341
2086,NSW,176604.6486,3.157247037,17.44122471,40,4231,195,164,92.17864924,4.248366013,3.572984749,37.32443012,46.78793461,15.88763528
2087,NSW,169749.5437,3.001859168,15.98079561,46.48729447,3845,481,262,83.80557977,10.48387097,5.710549259,43.48139256,38.58343337,17.93517407
2088,NSW,180593.9608,2.91459816,24.57142857,38.10455689,4440,1549,7251,33.5347432,11.69939577,54.76586103,39.52768442,26.36653105,34.10578454
2089,NSW,159057.3774,2.759373251,16.81243926,29.57534761,537,612,5255,8.385384135,9.556527171,82.05808869,25.4147813,21.21040724,53.37481146
2090,NSW,164872.0113,2.814308943,19.02478018,31.95876289,1141,737,5309,15.87588702,10.25462641,73.86948657,31.15858669,22.71158587,46.12982744
2092,NSW,211352.6441,3.283318623,20,43.125,2118,204,137,86.13257422,8.296055307,5.571370476,39.39937248,44.06095921,16.53966831
2093,NSW,178442.723,3.008960573,18.39942837,40.12316438,4740,1003,3259,52.65496556,11.14196845,36.20306599,34.60980913,37.61778207,27.77240879
2094,NSW,186445.046,2.993734336,16.38065523,32.12435233,683,589,1421,25.36204976,21.87151875,52.76643149,34.27487352,30.18549747,35.53962901
2095,NSW,181698.846,2.805467626,18.79496403,30.53802224,870,919,6809,10.11863224,10.68853222,79.19283554,28.67550634,18.38845986,52.9360338
2096,NSW,173847.0485,2.958426772,16.67648792,33.82862803,2485,293,3704,38.33693305,4.520209812,57.14285714,29.18342368,32.94282217,37.87375415
2097,NSW,163058.4046,2.931111111,18.66666667,41.37323944,3710,200,1945,63.3646456,3.41588386,33.21947054,37.49289907,39.36754403,23.1395569
2099,NSW,136335.4959,2.629481335,19.88962004,42.98417215,6928,1213,9764,38.69310249,6.774643954,54.53225356,27.47540565,33.52497764,38.99961671
2100,NSW,163301.8837,2.932684284,16.86791072,42.35751295,5606,552,1524,72.97578756,7.185628743,19.8385837,32.92613636,43.15340909,23.92045455
2101,NSW,141306.6365,2.707614352,21.76671547,43.14582196,4149,883,2982,51.77189918,11.01821812,37.20988271,36.72159837,33.84862185,29.42977979
2102,NSW,153375.7611,2.976701183,21.29547471,45.63758389,1503,746,671,51.47260274,25.54794521,22.97945205,33.307633,47.87972244,18.81264456
2103,NSW,145143.3825,2.734863774,20.9280303,44.93116395,2254,725,1377,51.74471993,16.64370983,31.61157025,46.43041904,30.83290222,22.73667874
2104,NSW,140288.369,2.617340287,23.02839117,47.52475248,952,416,399,53.87662705,23.54272779,22.58064516,60.62091503,30.22875817,9.150326797
2105,NSW,163742.3716,3.021768707,22.98387097,51.47058824,893,13,19,96.54054054,1.405405405,2.054054054,51.55615697,39.24221922,9.201623816
2106,NSW,157479.1932,2.900643717,20.89686099,44.48818898,2481,305,1125,63.43646126,7.798517003,28.76502173,40.55040719,36.22577928,23.22381354
2107,NSW,163262.2499,3.026802567,23.66962306,51.66666667,5147,210,640,85.82624646,3.501750875,10.67200267,46.76626324,39.16414523,14.06959153
